"Plot Title: RLCP HOBO U20L_01"
"#","Date Time, GMT+00:00","Water Level, meters (LGR S/N: 21571440)","Abs Pres, kPa (LGR S/N: 21571440, SEN S/N: 21571440)","Temp, °C (LGR S/N: 21571440, SEN S/N: 21571440)","Pressure Barom., kPa (LGR S/N: 2592884)"
89,02/19/23 05:00:00 AM,0.460,106.058,8.779,101.750
90,02/19/23 06:00:00 AM,0.456,106.112,8.680,101.840
91,02/19/23 07:00:00 AM,0.457,106.209,8.581,101.930
92,02/19/23 08:00:00 AM,0.457,106.317,8.382,102.030
93,02/19/23 09:00:00 AM,0.458,106.371,8.382,102.080
94,02/19/23 10:00:00 AM,0.454,106.382,8.481,102.130
95,02/19/23 11:00:00 AM,0.452,106.414,8.779,102.180
96,02/19/23 12:00:00 PM,0.456,106.412,9.176,102.140
97,02/19/23 01:00:00 PM,0.454,106.411,9.669,102.160
98,02/19/23 02:00:00 PM,0.455,106.334,9.866,102.070
99,02/19/23 03:00:00 PM,0.453,106.344,10.063,102.100
100,02/19/23 04:00:00 PM,0.455,106.280,9.866,102.020
101,02/19/23 05:00:00 PM,0.451,106.228,9.571,102.000
102,02/19/23 06:00:00 PM,0.453,106.229,9.176,101.990
103,02/19/23 07:00:00 PM,0.457,106.284,8.779,102.000
104,02/19/23 08:00:00 PM,0.459,106.253,8.382,101.950
105,02/19/23 09:00:00 PM,0.457,106.221,7.983,101.940
106,02/19/23 10:00:00 PM,0.454,106.210,7.682,101.960
107,02/19/23 11:00:00 PM,0.450,106.167,7.381,101.950
108,02/20/23 12:00:00 AM,0.449,106.102,7.079,101.900
109,02/20/23 01:00:00 AM,0.449,106.069,6.877,101.860
110,02/20/23 02:00:00 AM,0.451,106.025,6.674,101.800
111,02/20/23 03:00:00 AM,0.450,106.003,6.471,101.790
112,02/20/23 04:00:00 AM,0.448,105.949,6.471,101.750
113,02/20/23 05:00:00 AM,0.448,105.938,6.471,101.740
114,02/20/23 06:00:00 AM,0.451,105.917,6.370,101.690
115,02/20/23 07:00:00 AM,0.449,105.906,6.370,101.700
116,02/20/23 08:00:00 AM,0.449,105.895,6.370,101.690
117,02/20/23 09:00:00 AM,0.448,105.863,6.471,101.670
118,02/20/23 10:00:00 AM,0.445,105.843,6.775,101.680
119,02/20/23 11:00:00 AM,0.449,105.833,7.280,101.630
120,02/20/23 12:00:00 PM,0.448,105.811,8.082,101.620
121,02/20/23 01:00:00 PM,0.449,105.756,8.879,101.550
122,02/20/23 02:00:00 PM,0.452,105.731,9.669,101.500
123,02/20/23 03:00:00 PM,0.453,105.685,10.161,101.440
124,02/20/23 04:00:00 PM,,,,101.460
